account_id,customer_id,account_type,account_open_date,branch_id,current_balance,account_status
A00147,C0121,Savings,2025-10-29,B015,71584.64,Active
A00148,C0122,Savings,2025-07-30,B009,86900.01,Active
A00149,C0122,Savings,2025-08-09,B001,39276.91,Active
A00150,C0123,Salary,2024-04-04,B011,52072.18,Active
A00151,C0123,Savings,2024-04-05,B003,21842.59,Active
A00152,C0124,Salary,2024-09-25,B003,133916.72,Active
A00153,C0125,Savings,2021-10-16,B013,157001.56,Active
A00154,C0125,Savings,2021-09-17,B004,94659.31,Active
A00155,C0126,Salary,2025-01-07,B007,159499.96,Dormant
A00156,C0127,Savings,2021-10-14,B011,33398.83,Active
A00157,C0127,Salary,2021-11-16,B011,103771.86,Active
A00158,C0128,Current,2023-09-18,B010,428719.03,Active
A00159,C0129,Current,2020-07-19,B015,24273.18,Active
A00160,C0130,Salary,2021-02-07,B004,39577.74,Active
A00161,C0131,Savings,2020-08-06,B013,126385.97,Dormant
A00162,C0132,Salary,2024-08-24,B008,28400.45,Active
A00163,C0133,Savings,2022-09-24,B003,115611.65,Active
A00164,C0134,Salary,2020-02-22,B011,28260.17,Active
A00165,C0135,Savings,2023-06-09,B011,27270.88,Active
A00166,C0136,Current,2025-06-03,B007,369969.28,Active
A00167,C0137,Current,2023-06-03,B003,304156.65,Active
A00168,C0138,Savings,2020-08-04,B003,41712.87,Dormant
A00169,C0138,Savings,2020-08-26,B007,123711.78,Closed
A00170,C0139,Salary,2022-03-31,B012,33391.1,Active
A00171,C0140,Savings,2023-07-19,B010,48528.06,Dormant
A00172,C0140,Savings,2023-07-15,B014,74947.51,Active
A00173,C0141,Salary,2023-10-09,B003,94570.39,Active
A00174,C0142,Current,2024-04-06,B006,207909.54,Active
A00175,C0143,Savings,2023-05-01,B007,36307.57,Active
A00176,C0144,Salary,2024-07-28,B009,129257.34,Active
A00177,C0145,Savings,2024-04-15,B008,88439.58,Active
A00178,C0146,Salary,2022-10-02,B009,96018.62,Active
A00179,C0147,Savings,2020-10-19,B010,30581.59,Active
A00180,C0148,Salary,2020-06-28,B011,55575.27,Active
A00181,C0148,Savings,2020-07-15,B001,52653.6,Active
A00182,C0149,Salary,2025-03-22,B013,85886.6,Active
A00183,C0150,Current,2021-04-03,B013,385377.41,Active
A00184,C0151,Savings,2022-10-13,B008,46998.55,Active
A00185,C0152,Savings,2024-07-22,B015,85088.49,Active
A00186,C0152,Savings,2024-08-04,B012,84558.65,Active
A00187,C0153,Savings,2020-04-21,B001,108341.16,Active
A00188,C0154,Savings,2022-05-04,B006,54022.26,Active
A00189,C0155,Savings,2020-02-15,B014,64636.57,Active
A00190,C0156,Savings,2020-05-10,B011,49194.79,Active
A00191,C0157,Salary,2020-08-13,B008,46237.67,Active
A00192,C0158,Savings,2024-02-27,B005,155013.0,Active
A00193,C0159,Current,2025-12-30,B014,508911.78,Active
A00194,C0160,Savings,2021-05-17,B012,83592.19,Active
A00195,C0161,Savings,2023-03-23,B006,52934.35,Active
A00196,C0162,Current,2024-11-21,B003,176235.11,Closed
A00197,C0163,Savings,2022-08-23,B003,91940.25,Dormant
A00198,C0164,Savings,2023-07-27,B004,48673.19,Active
A00199,C0165,Savings,2021-01-23,B007,67988.31,Active
A00200,C0166,Salary,2020-11-01,B001,55439.21,Active
A00201,C0167,Savings,2024-10-10,B001,61740.63,Active
A00202,C0168,Savings,2022-05-23,B004,38430.82,Active
A00203,C0168,Savings,2022-06-04,B012,39381.06,Active
A00204,C0169,Savings,2023-02-15,B011,61276.7,Closed
A00205,C0170,Savings,2020-05-09,B007,18641.34,Active
A00206,C0171,Savings,2023-12-09,B001,19307.4,Active
A00207,C0172,Savings,2020-06-27,B012,33141.91,Active
A00208,C0172,Current,2020-06-26,B006,261835.6,Active
A00209,C0173,Savings,2023-09-15,B015,86534.42,Active
A00210,C0174,Savings,2021-01-04,B002,48278.44,Active
A00211,C0175,Salary,2025-10-31,B013,79096.47,Dormant
A00212,C0176,Salary,2025-12-14,B010,66675.55,Active
A00213,C0176,Salary,2025-12-28,B010,96874.26,Active
A00214,C0177,Salary,2022-05-30,B008,45932.07,Active
A00215,C0178,Savings,2024-11-14,B002,49859.52,Active
A00216,C0179,Salary,2024-02-03,B011,101337.61,Active
A00217,C0180,Salary,2023-08-09,B009,91488.08,Active
A00218,C0181,Savings,2024-08-11,B002,53745.66,Active
A00219,C0181,Salary,2024-08-21,B002,81206.77,Dormant
A00220,C0182,Savings,2021-01-31,B015,71307.26,Active
A00221,C0183,Current,2023-07-06,B015,762254.24,Active
A00222,C0183,Savings,2023-07-09,B012,31992.39,Dormant
A00223,C0184,Savings,2021-06-04,B004,161583.42,Active
A00224,C0185,Savings,2021-09-01,B015,31050.51,Active
A00225,C0186,Current,2020-12-28,B013,73443.98,Active
A00226,C0187,Savings,2023-09-05,B010,37939.11,Active
A00227,C0188,Salary,2023-02-16,B014,97937.69,Active
A00228,C0188,Salary,2023-03-03,B015,211606.95,Active
A00229,C0189,Current,2020-09-23,B001,176108.58,Active
A00230,C0190,Savings,2025-09-29,B009,71066.57,Active
A00231,C0191,Savings,2022-03-26,B002,20790.96,Active
A00232,C0192,Savings,2023-11-20,B011,138296.73,Active
A00233,C0193,Savings,2024-12-20,B014,101871.78,Active
A00234,C0194,Savings,2023-11-07,B010,39430.78,Active
A00235,C0195,Savings,2023-04-26,B012,110896.1,Active
A00236,C0196,Savings,2023-07-30,B003,49679.26,Active
A00237,C0196,Current,2023-08-15,B004,526745.4,Active
A00238,C0197,Savings,2024-05-15,B007,53504.78,Active
A00239,C0198,Salary,2025-12-26,B003,82323.71,Active
A00240,C0199,Savings,2022-07-20,B015,39943.3,Active
A00241,C0200,Savings,2021-03-09,B008,76371.41,Active
A00242,C0201,Savings,2022-02-23,B002,57359.44,Active
A00243,C0201,Savings,2022-02-09,B005,71960.91,Active
A00244,C0202,Current,2025-01-16,B005,115498.3,Active
A00245,C0203,Salary,2025-04-06,B006,160336.88,Active
A00246,C0204,Current,2025-09-02,B010,600888.68,Active
A00247,C0205,Savings,2020-08-19,B013,57201.16,Active
A00248,C0206,Savings,2021-06-22,B012,152917.98,Dormant
A00249,C0207,Savings,2024-12-05,B011,133657.39,Dormant
A00250,C0208,Salary,2025-09-27,B007,115964.84,Active
A00251,C0209,Salary,2021-02-19,B002,167524.85,Active
A00252,C0210,Current,2021-08-08,B012,487180.01,Active
A00253,C0211,Salary,2022-07-27,B013,21069.86,Dormant
A00254,C0212,Savings,2024-10-11,B008,45009.54,Active
A00255,C0213,Savings,2020-04-19,B004,80368.19,Active
A00256,C0213,Current,2020-03-13,B012,620232.75,Active
A00257,C0214,Savings,2024-10-28,B015,19764.89,Active
A00258,C0215,Salary,2025-10-28,B009,22203.89,Closed
A00259,C0216,Current,2022-12-15,B002,284906.09,Dormant
A00260,C0217,Savings,2021-03-18,B012,10297.9,Active
A00261,C0218,Savings,2021-12-19,B003,50475.31,Active
A00262,C0219,Salary,2025-03-19,B014,99337.04,Active
A00263,C0220,Salary,2023-07-22,B009,42224.3,Active
A00264,C0220,Salary,2023-07-05,B009,76968.48,Active
A00265,C0221,Current,2023-04-22,B015,465326.24,Active
A00266,C0222,Savings,2024-07-18,B015,37822.05,Active
A00267,C0223,Savings,2025-11-19,B005,31403.1,Active
A00268,C0224,Savings,2023-06-09,B009,49913.55,Active
A00269,C0225,Savings,2024-10-11,B009,26164.03,Active
A00270,C0226,Salary,2024-11-16,B005,220013.27,Active
A00271,C0227,Current,2021-10-17,B013,298768.53,Active
A00272,C0228,Salary,2022-09-18,B007,50383.64,Active
A00273,C0229,Current,2025-02-09,B014,327348.72,Active
A00274,C0230,Current,2023-08-28,B009,276460.26,Active
A00275,C0231,Current,2024-05-22,B005,260768.74,Active
A00276,C0232,Savings,2023-05-08,B004,37815.72,Active
A00277,C0233,Savings,2025-02-05,B008,36651.03,Active
A00278,C0234,Savings,2023-05-14,B006,17574.84,Active
A00279,C0235,Savings,2021-08-09,B002,111589.32,Active
A00280,C0235,Current,2021-07-22,B012,390816.18,Active
A00281,C0236,Savings,2021-07-11,B006,64158.24,Active
A00282,C0237,Salary,2026-01-06,B008,73895.55,Active
A00283,C0238,Salary,2025-01-20,B003,41725.21,Active
A00284,C0239,Savings,2021-06-24,B003,32248.53,Dormant
A00285,C0240,Savings,2022-07-19,B001,19063.08,Closed
A00286,C0241,Savings,2021-06-11,B008,34880.78,Active
A00287,C0242,Savings,2021-09-29,B013,25234.55,Active
A00288,C0243,Savings,2023-01-08,B011,129589.86,Dormant
A00289,C0243,Savings,2022-12-22,B012,87620.34,Active
A00290,C0244,Savings,2023-05-11,B008,55900.29,Active
A00291,C0245,Savings,2025-02-13,B011,29859.5,Closed
A00292,C0246,Savings,2021-08-21,B001,26123.34,Active
A00293,C0247,Savings,2021-03-10,B004,47355.3,Closed
A00294,C0248,Current,2020-09-02,B012,459317.07,Active
A00295,C0249,Savings,2023-09-08,B008,19455.36,Active
A00296,C0250,Salary,2023-07-27,B013,110870.49,Active
A00297,C0251,Savings,2024-02-04,B009,34780.73,Active
A00298,C0252,Savings,2025-05-31,B009,38953.39,Active
A00299,C0253,Salary,2024-07-21,B012,82400.69,Active
A00300,C0254,Current,2023-05-24,B005,183566.42,Active
A00301,C0255,Current,2021-06-14,B009,258230.73,Active
A00302,C0256,Savings,2024-03-23,B006,28844.49,Active
A00303,C0257,Current,2020-07-13,B014,213552.87,Active
A00304,C0257,Savings,2020-06-26,B008,82003.94,Active
A00305,C0258,Savings,2021-09-04,B013,56643.74,Active
A00306,C0259,Salary,2023-12-02,B010,122744.77,Active
A00307,C0260,Savings,2021-05-05,B002,34487.29,Closed
A00308,C0261,Savings,2022-08-21,B011,74223.83,Active
A00309,C0262,Savings,2024-05-17,B007,15881.72,Active
A00310,C0263,Current,2023-08-30,B001,300761.22,Dormant
A00311,C0264,Savings,2025-05-16,B002,77026.47,Active
A00312,C0265,Current,2025-06-24,B007,105327.61,Active
A00313,C0266,Current,2024-01-14,B001,204381.5,Active
A00314,C0267,Savings,2023-05-20,B015,54896.39,Active
A00315,C0268,Salary,2025-07-09,B008,140117.67,Active
A00316,C0268,Savings,2025-07-18,B012,36623.73,Dormant
A00317,C0269,Salary,2024-07-26,B001,108863.11,Active
A00318,C0269,Savings,2024-06-08,B012,115627.8,Active
A00319,C0270,Savings,2024-12-22,B009,74487.68,Active
A00320,C0271,Savings,2023-02-19,B004,46972.95,Active
A00321,C0272,Salary,2026-01-31,B009,99594.64,Active
A00322,C0273,Salary,2021-08-08,B010,53908.95,Active
A00323,C0274,Savings,2022-04-06,B002,56211.62,Active
A00324,C0275,Savings,2022-08-19,B011,48408.79,Active
A00325,C0276,Salary,2020-06-17,B015,97705.02,Active
A00326,C0277,Salary,2020-03-26,B007,61471.12,Active
A00327,C0277,Salary,2020-03-16,B006,100921.81,Active
A00328,C0278,Savings,2025-09-13,B009,40731.71,Active
A00329,C0279,Savings,2025-02-22,B007,87143.06,Active
A00330,C0280,Current,2022-03-10,B009,246171.15,Closed
A00331,C0280,Savings,2022-03-16,B005,10621.1,Active
A00332,C0281,Salary,2022-03-19,B012,40079.38,Active
A00333,C0282,Current,2023-02-03,B015,296163.87,Active
A00334,C0283,Savings,2022-09-10,B003,128959.02,Active
A00335,C0284,Savings,2023-07-16,B013,85266.51,Active
A00336,C0285,Salary,2025-05-16,B012,13212.51,Active
A00337,C0286,Savings,2022-08-09,B014,18151.39,Active
A00338,C0287,Salary,2020-12-26,B010,150132.06,Active
A00339,C0288,Current,2021-10-24,B002,401337.87,Active
A00340,C0289,Savings,2025-07-22,B014,167178.26,Active
A00341,C0290,Salary,2020-10-10,B004,59540.18,Active
A00342,C0290,Current,2020-10-03,B001,181456.95,Active
A00343,C0291,Savings,2022-07-01,B001,55704.99,Active
A00344,C0292,Savings,2020-09-12,B004,39204.72,Active
A00345,C0293,Savings,2024-11-04,B008,94902.48,Active
A00346,C0294,Savings,2021-08-17,B005,38350.2,Active
A00347,C0295,Savings,2022-08-17,B010,44995.89,Active
A00348,C0296,Savings,2024-04-29,B009,27328.25,Active
A00349,C0297,Savings,2021-04-19,B009,82073.46,Active
A00350,C0298,Savings,2020-07-03,B010,28529.08,Active
A00351,C0299,Savings,2022-06-28,B007,68007.64,Active
A00352,C0300,Savings,2023-08-26,B007,141110.34,Active
A00353,C0301,Savings,2022-06-25,B011,13780.15,Active
A00354,C0302,Savings,2022-02-07,B014,118633.78,Active
A00355,C0303,Savings,2024-04-24,B014,63009.57,Active
A00356,C0304,Salary,2025-04-28,B014,36559.72,Active
A00357,C0305,Salary,2024-08-26,B015,85479.79,Dormant
A00358,C0306,Savings,2025-03-08,B012,80721.76,Active
A00359,C0306,Savings,2025-02-06,B001,31458.16,Active
A00360,C0307,Savings,2020-07-28,B009,70260.85,Active
A00361,C0308,Current,2023-11-08,B003,611334.79,Active
A00362,C0309,Current,2025-06-17,B011,221783.43,Active
A00363,C0310,Savings,2025-05-07,B013,27102.15,Active
A00364,C0311,Current,2021-02-11,B001,274483.09,Active
A00365,C0312,Salary,2022-07-18,B011,82761.12,Dormant
A00366,C0313,Salary,2024-09-30,B011,146468.13,Active
A00367,C0314,Salary,2025-10-03,B002,72506.21,Active
A00368,C0315,Savings,2021-12-02,B003,40571.02,Active
A00369,C0315,Savings,2022-01-04,B015,26636.9,Active
A00370,C0316,Savings,2020-09-28,B006,15487.23,Active
A00371,C0317,Savings,2022-08-27,B006,21323.04,Active
A00372,C0318,Salary,2025-06-19,B009,31848.69,Active
A00373,C0319,Salary,2026-01-29,B015,67944.65,Closed
A00374,C0320,Salary,2024-11-07,B004,26644.86,Active
A00375,C0320,Savings,2024-11-03,B003,51579.65,Active
A00376,C0321,Current,2022-12-09,B014,677516.25,Active
A00377,C0322,Current,2022-10-12,B007,501966.3,Dormant
A00378,C0323,Savings,2020-06-19,B004,45024.65,Active
A00379,C0324,Salary,2021-12-10,B014,283885.28,Active
A00380,C0325,Savings,2021-02-21,B003,55290.87,Closed
A00381,C0326,Savings,2025-06-06,B015,60067.86,Dormant
A00382,C0326,Savings,2025-06-04,B009,48756.11,Dormant
A00383,C0327,Savings,2020-05-23,B015,52270.75,Active
A00384,C0328,Salary,2024-07-15,B007,56221.64,Active
A00385,C0329,Salary,2023-11-18,B011,68147.57,Active
A00386,C0330,Savings,2024-12-06,B003,119076.69,Active
A00387,C0331,Current,2023-10-04,B010,528619.02,Active
A00388,C0331,Current,2023-10-11,B004,76560.52,Active
A00389,C0332,Salary,2024-12-05,B003,28959.91,Active
A00390,C0333,Current,2021-01-25,B003,189586.04,Active
A00391,C0334,Savings,2023-07-23,B004,90100.68,Active
A00392,C0335,Salary,2021-03-08,B007,159860.62,Active
A00393,C0335,Salary,2021-03-07,B013,120818.41,Active
A00394,C0336,Salary,2021-04-07,B014,36456.27,Active
A00395,C0336,Savings,2021-04-24,B008,37971.26,Active
A00396,C0337,Savings,2024-06-17,B012,70965.99,Active
A00397,C0338,Current,2022-10-27,B012,258036.98,Active
A00398,C0339,Salary,2021-08-22,B013,63006.68,Active
A00399,C0340,Salary,2024-03-15,B001,63587.31,Closed
A00400,C0341,Savings,2023-06-03,B012,100864.0,Active
A00401,C0342,Current,2023-10-15,B001,393892.87,Active
A00402,C0343,Savings,2023-07-28,B014,43848.93,Active
A00403,C0344,Current,2022-11-02,B001,346183.12,Active
A00404,C0345,Salary,2022-01-11,B008,33028.57,Active
A00405,C0346,Salary,2020-11-23,B015,57027.12,Active
A00406,C0347,Savings,2024-10-10,B001,95453.59,Active
A00407,C0348,Salary,2024-10-08,B015,25405.57,Active
A00408,C0348,Savings,2024-11-06,B011,75674.81,Active
A00409,C0349,Current,2020-12-21,B002,76027.52,Active
A00410,C0350,Savings,2024-07-18,B012,130140.47,Active
A00411,C0351,Current,2025-11-18,B003,217526.03,Active
A00412,C0351,Savings,2025-12-22,B003,67459.97,Active
A00413,C0352,Salary,2025-10-05,B003,85727.48,Active
A00414,C0352,Salary,2025-09-06,B001,87591.47,Active
A00415,C0353,Salary,2021-01-26,B005,96046.41,Active
A00416,C0354,Salary,2025-07-10,B001,22062.74,Active
A00417,C0354,Savings,2025-07-25,B008,59110.67,Active
A00418,C0355,Current,2023-05-29,B008,266042.26,Active
A00419,C0356,Savings,2022-10-01,B008,37575.79,Active
A00420,C0357,Salary,2022-09-15,B005,47607.8,Active
A00421,C0358,Savings,2022-03-28,B003,59988.72,Active
A00422,C0358,Savings,2022-05-12,B003,27336.42,Active
A00423,C0359,Current,2020-11-10,B006,480918.96,Active
A00424,C0360,Salary,2023-01-22,B003,105457.76,Active
A00425,C0361,Current,2021-06-01,B010,334328.1,Active
A00426,C0362,Current,2023-07-01,B006,471090.03,Active
A00427,C0362,Salary,2023-05-26,B006,19459.44,Dormant
A00428,C0363,Salary,2024-04-13,B014,32261.44,Active
A00429,C0363,Savings,2024-04-22,B002,72089.4,Active
A00430,C0364,Savings,2024-11-11,B004,32968.61,Active
A00431,C0365,Current,2021-12-17,B011,209274.2,Closed
A00432,C0366,Current,2024-02-29,B015,126307.63,Closed
A00433,C0367,Current,2025-08-05,B006,167798.32,Active
A00434,C0368,Savings,2020-06-14,B003,95676.8,Active
A00435,C0368,Savings,2020-06-06,B011,71121.9,Active
A00436,C0369,Current,2025-03-06,B012,322568.89,Closed
A00437,C0370,Savings,2024-04-01,B011,36655.62,Active
A00438,C0371,Salary,2022-11-05,B007,86127.34,Active
A00439,C0371,Savings,2022-11-19,B013,100362.55,Active
A00440,C0372,Current,2021-06-14,B005,198262.43,Active
A00441,C0373,Savings,2024-10-19,B013,52198.76,Active
A00442,C0374,Savings,2023-04-05,B010,134591.12,Closed
A00443,C0375,Savings,2025-10-29,B014,79948.65,Dormant
A00444,C0375,Savings,2025-11-28,B008,36991.65,Active
A00445,C0376,Savings,2021-07-30,B008,76328.27,Dormant
A00446,C0377,Savings,2024-06-22,B014,16731.21,Dormant
A00447,C0377,Savings,2024-06-15,B009,50939.1,Active
A00448,C0378,Current,2020-11-18,B001,399055.94,Active
A00449,C0379,Salary,2024-03-13,B013,100108.71,Active
A00450,C0380,Salary,2021-02-09,B006,113795.51,Active
A00451,C0381,Current,2024-11-05,B007,440522.54,Active
A00452,C0381,Salary,2024-11-13,B013,104669.48,Active
A00453,C0382,Savings,2021-06-23,B007,68631.05,Active
A00454,C0383,Savings,2025-03-10,B005,60408.01,Active
A00455,C0384,Savings,2022-05-27,B001,25244.3,Active
A00456,C0385,Savings,2024-02-15,B013,95653.22,Dormant
A00457,C0386,Savings,2023-07-21,B008,52051.87,Dormant
A00458,C0387,Savings,2025-07-01,B013,78830.92,Active
A00459,C0388,Savings,2023-11-21,B003,90221.43,Active
A00460,C0388,Savings,2024-01-02,B012,38192.39,Active
A00461,C0389,Salary,2021-04-18,B011,60546.18,Active
A00462,C0390,Savings,2021-07-05,B001,43859.66,Active
A00463,C0391,Savings,2025-01-24,B010,105757.23,Active
A00464,C0392,Savings,2021-01-08,B004,29126.29,Active
