loan_id,customer_id,loan_type,loan_amount,interest_rate,loan_start_date,tenure_months,loan_status
L00040,C0064,Business,6511396.54,11.36,2025-03-06,84,Active
L00041,C0385,Home,5583873.85,9.01,2024-01-31,300,Active
L00042,C0094,Home,5628195.43,8.32,2022-08-23,180,Closed
L00043,C0486,Business,1029288.53,11.32,2025-12-16,60,Defaulted
L00044,C0186,Personal,128726.58,15.74,2021-08-10,60,Active
L00045,C0034,Auto,2230337.94,9.22,2020-12-16,36,Active
L00046,C0078,Personal,111149.99,11.27,2024-03-27,48,Active
L00047,C0001,Personal,476596.4,14.05,2021-07-14,48,Active
L00048,C0012,Personal,559320.58,17.75,2025-11-18,60,Active
L00049,C0416,Personal,853902.16,17.41,2024-03-04,60,Active
L00050,C0023,Auto,2288242.95,10.31,2023-10-10,84,Active
L00051,C0073,Business,1123512.35,10.68,2025-04-30,120,Active
L00052,C0183,Personal,348930.67,15.42,2023-10-22,60,Active
L00053,C0132,Home,8467105.25,8.9,2025-02-08,120,Active
L00054,C0411,Personal,992113.26,17.37,2021-03-19,48,Active
L00055,C0194,Personal,972401.07,11.35,2024-10-14,48,Defaulted
L00056,C0056,Personal,256100.04,13.02,2025-02-14,24,Active
L00057,C0149,Personal,278304.51,12.81,2025-08-10,60,Active
L00058,C0019,Auto,2085082.66,8.9,2025-11-28,84,Active
L00059,C0205,Business,5709514.05,12.5,2021-07-04,120,Active
L00060,C0079,Auto,592440.2,8.77,2022-06-23,36,Active
L00061,C0495,Business,1841097.92,12.75,2022-10-14,84,Active
L00062,C0263,Auto,2226278.45,10.1,2024-06-28,84,Active
L00063,C0324,Personal,74277.83,13.81,2022-06-07,12,Active
L00064,C0484,Education,1013853.85,10.21,2020-03-06,48,Active
L00065,C0080,Personal,574871.38,15.74,2023-11-09,60,Defaulted
L00066,C0040,Auto,412744.65,10.46,2024-06-14,84,Active
L00067,C0452,Auto,1975736.07,10.48,2025-09-04,84,Active
L00068,C0047,Home,4772266.67,8.81,2023-11-17,120,Closed
L00069,C0239,Business,4147629.62,14.07,2022-01-30,60,Defaulted
L00070,C0392,Auto,1625751.67,9.98,2021-03-16,48,Closed
L00071,C0353,Business,3415731.78,14.28,2021-01-07,120,Active
L00072,C0342,Auto,2260863.24,9.01,2023-11-20,84,Active
L00073,C0278,Business,2027208.86,13.1,2025-02-14,60,Active
L00074,C0291,Personal,89888.99,16.78,2022-09-28,36,Active
L00075,C0318,Home,5038178.85,8.03,2025-10-01,120,Active
L00076,C0305,Personal,126395.3,17.3,2024-09-06,12,Active
L00077,C0269,Auto,2364858.2,8.54,2024-08-13,60,Closed
L00078,C0070,Personal,552548.82,17.35,2023-11-20,12,Active
L00079,C0456,Education,1555629.09,9.51,2022-05-10,84,Active
L00080,C0466,Auto,2235404.38,10.44,2022-10-10,48,Active
L00081,C0155,Auto,763525.18,11.27,2021-01-07,36,Active
L00082,C0083,Business,1674521.45,12.96,2023-09-15,120,Active
L00083,C0478,Home,4499226.15,8.36,2022-06-27,120,Defaulted
L00084,C0173,Business,5350837.29,14.01,2024-08-02,60,Active
L00085,C0322,Personal,672224.4,14.48,2023-09-08,36,Closed
L00086,C0091,Home,6246627.27,8.18,2025-08-02,120,Closed
L00087,C0181,Personal,658198.24,11.09,2025-05-13,60,Active
L00088,C0415,Business,3779033.58,11.53,2024-03-14,84,Active
L00089,C0313,Auto,1904077.15,10.53,2025-05-14,60,Active
L00090,C0279,Home,1795458.67,9.02,2025-11-23,120,Closed
L00091,C0382,Auto,738252.55,11.1,2021-10-15,84,Active
L00092,C0473,Personal,995180.2,13.95,2021-01-11,12,Active
L00093,C0363,Home,6911668.43,8.15,2024-05-20,240,Active
L00094,C0325,Business,5308088.03,12.5,2021-07-06,84,Defaulted
L00095,C0432,Personal,923531.66,13.89,2023-08-02,24,Active
L00096,C0348,Business,879522.57,12.98,2024-11-27,84,Closed
L00097,C0087,Business,823102.17,13.76,2023-01-20,84,Defaulted
L00098,C0076,Personal,636116.28,17.6,2021-03-26,24,Active
L00099,C0439,Personal,74749.59,15.23,2020-05-17,24,Active
L00100,C0016,Auto,1026648.17,8.51,2023-04-17,36,Active
L00101,C0250,Auto,2166760.72,11.45,2024-04-21,60,Closed
L00102,C0434,Auto,1074339.37,11.06,2025-10-12,84,Active
L00103,C0020,Personal,753297.65,17.81,2024-03-22,60,Active
L00104,C0323,Business,3538563.12,13.94,2020-06-12,60,Active
L00105,C0333,Business,1699419.73,11.31,2021-03-15,120,Closed
L00106,C0057,Home,5586158.31,8.33,2023-09-09,180,Closed
L00107,C0302,Business,2228008.93,13.98,2022-11-29,60,Active
L00108,C0230,Auto,664373.09,9.63,2023-10-31,60,Active
L00109,C0332,Home,2990684.64,8.87,2025-08-02,120,Active
L00110,C0133,Home,2773472.11,8.53,2022-10-23,300,Active
L00111,C0138,Auto,1016286.4,10.28,2020-09-14,84,Active
L00112,C0424,Personal,463391.69,12.56,2021-12-15,24,Closed
L00113,C0336,Personal,550449.73,13.11,2021-11-21,36,Closed
L00114,C0026,Home,3209792.02,8.92,2022-08-17,240,Defaulted
L00115,C0465,Personal,63604.52,17.92,2025-07-25,60,Active
L00116,C0282,Business,1956148.3,12.06,2023-05-18,60,Active
L00117,C0248,Education,1317296.85,10.92,2020-09-24,84,Active
L00118,C0238,Auto,903383.15,9.19,2025-10-14,36,Active
L00119,C0118,Personal,948152.14,16.57,2021-08-29,12,Active
L00120,C0043,Personal,146567.4,14.7,2023-01-23,60,Closed
L00121,C0221,Personal,968867.39,12.69,2023-07-13,36,Closed
L00122,C0177,Personal,538713.55,12.79,2022-08-05,60,Active
L00123,C0321,Personal,802489.91,16.34,2023-07-31,60,Active
L00124,C0154,Auto,1403773.83,10.48,2022-10-31,48,Active
L00125,C0232,Home,1883072.98,8.96,2023-10-22,240,Active
L00126,C0228,Auto,2167032.95,10.63,2023-03-15,60,Active
L00127,C0418,Business,2422391.72,13.72,2024-12-07,84,Closed
L00128,C0204,Home,2408017.02,8.02,2025-06-24,300,Active
L00129,C0127,Auto,2019638.81,8.99,2022-02-04,60,Active
L00130,C0330,Personal,301811.95,16.14,2025-01-14,24,Active
L00131,C0032,Personal,92943.25,14.86,2021-01-06,48,Active
L00132,C0114,Personal,700502.9,17.02,2025-05-22,48,Active
L00133,C0471,Business,6729363.91,11.64,2024-07-03,84,Active
L00134,C0272,Personal,478127.03,13.37,2025-02-16,24,Active
L00135,C0141,Personal,704222.16,14.19,2024-07-15,36,Closed
L00136,C0058,Personal,894299.52,15.19,2023-09-30,60,Active
L00137,C0193,Personal,349589.7,11.39,2025-09-01,48,Active
L00138,C0025,Personal,747106.63,13.96,2023-04-17,12,Active
L00139,C0018,Auto,439544.22,9.66,2025-12-12,48,Active
L00140,C0266,Personal,655812.03,16.08,2024-08-22,12,Closed
L00141,C0067,Home,4717122.96,8.76,2023-10-20,240,Closed
L00142,C0209,Home,4176561.44,8.84,2022-01-11,300,Defaulted
L00143,C0480,Education,342507.56,10.0,2023-03-04,48,Active
L00144,C0095,Auto,1152278.1,9.29,2023-04-23,60,Active
L00145,C0254,Education,601352.49,11.09,2023-05-12,60,Active
L00146,C0267,Auto,849253.18,10.85,2023-07-22,48,Active
L00147,C0024,Home,7300253.17,9.23,2023-12-09,240,Active
L00148,C0223,Personal,541278.82,12.48,2025-10-14,24,Active
L00149,C0262,Personal,481414.81,15.09,2025-04-06,36,Closed
L00150,C0427,Personal,477397.13,16.77,2023-03-10,48,Active
L00151,C0006,Personal,737590.8,17.25,2024-03-17,12,Closed
L00152,C0117,Auto,1359167.62,9.35,2022-07-17,48,Closed
L00153,C0046,Personal,471468.48,12.39,2022-05-19,48,Active
L00154,C0017,Business,2422636.75,10.69,2023-07-27,84,Closed
L00155,C0463,Personal,251114.17,16.23,2024-07-14,48,Active
L00156,C0358,Home,8669143.46,8.6,2022-04-27,180,Active
L00157,C0004,Personal,93632.66,17.63,2023-03-17,24,Active
L00158,C0219,Business,979064.06,12.83,2025-12-29,84,Defaulted
L00159,C0406,Personal,636302.96,16.19,2021-04-17,24,Active
L00160,C0061,Home,7355766.6,8.52,2022-02-04,240,Closed
L00161,C0111,Home,7640703.08,8.99,2025-06-05,240,Active
L00162,C0319,Home,4136192.34,8.51,2025-06-24,180,Closed
L00163,C0429,Business,2356406.32,10.98,2023-12-19,84,Active
L00164,C0030,Home,8441960.36,9.42,2023-09-09,300,Closed
L00165,C0438,Auto,2451318.89,8.71,2022-04-04,60,Active
L00166,C0472,Business,3030896.18,13.38,2022-07-10,84,Closed
L00167,C0027,Auto,601301.73,9.35,2025-01-01,48,Active
L00168,C0008,Home,7737347.75,8.66,2024-10-11,180,Active
L00169,C0454,Personal,741000.18,12.93,2021-07-21,12,Active
L00170,C0109,Home,4467450.88,8.74,2021-03-04,120,Active
L00171,C0038,Business,1616475.08,10.82,2024-11-15,60,Active
L00172,C0158,Personal,671422.47,17.77,2024-04-23,60,Closed
L00173,C0490,Auto,2408618.66,9.87,2024-08-15,36,Active
L00174,C0119,Personal,866737.24,11.09,2023-02-20,48,Active
L00175,C0115,Business,6071654.9,10.77,2025-09-06,84,Active
L00176,C0176,Personal,911521.67,14.11,2025-12-30,24,Active
L00177,C0374,Auto,731848.05,9.55,2023-05-10,36,Active
L00178,C0182,Business,5856000.66,13.73,2021-03-13,120,Active
L00179,C0145,Personal,445691.25,13.42,2025-02-01,24,Defaulted
L00180,C0370,Auto,499045.53,9.22,2024-12-06,84,Active
L00181,C0391,Personal,988320.56,15.45,2025-06-13,48,Active
L00182,C0196,Personal,357806.4,13.71,2024-02-06,60,Defaulted
L00183,C0405,Home,4126904.84,9.49,2022-04-01,300,Active
L00184,C0276,Personal,343951.97,14.91,2020-07-16,24,Active
L00185,C0455,Education,1281219.77,11.84,2024-12-23,48,Closed
L00186,C0142,Home,6807492.75,8.53,2024-07-18,180,Active
L00187,C0366,Home,3327227.51,8.14,2024-04-06,120,Closed
L00188,C0068,Personal,99407.53,13.24,2025-09-17,36,Closed
L00189,C0211,Personal,930907.42,16.22,2023-04-03,60,Closed
L00190,C0169,Personal,599686.46,15.99,2023-03-11,60,Active
L00191,C0494,Auto,796536.62,10.26,2025-06-25,84,Active
L00192,C0376,Education,970262.71,9.56,2022-02-09,48,Active
L00193,C0401,Home,4715296.67,9.27,2021-08-13,240,Active
L00194,C0273,Home,7156149.96,8.66,2022-06-29,300,Active
L00195,C0110,Education,1081380.77,10.37,2025-01-22,60,Active
L00196,C0249,Home,4606429.61,9.48,2024-02-08,240,Active
L00197,C0146,Auto,2194867.16,8.82,2023-02-03,60,Active
L00198,C0093,Personal,120974.97,17.51,2023-04-05,60,Active
L00199,C0153,Auto,1881273.28,9.53,2020-10-29,60,Active
L00200,C0368,Home,5515137.41,9.49,2020-12-03,120,Closed
L00201,C0468,Personal,636801.93,14.95,2024-11-21,60,Closed
L00202,C0084,Home,6701962.78,8.02,2021-02-11,120,Active
L00203,C0246,Personal,616375.59,11.2,2022-03-20,36,Active
L00204,C0166,Home,3471337.66,8.76,2020-11-13,300,Closed
L00205,C0164,Personal,106415.39,17.96,2023-11-11,24,Active
L00206,C0200,Business,1152692.41,10.24,2022-01-17,60,Active
L00207,C0229,Personal,735105.13,11.97,2025-08-14,60,Active
L00208,C0075,Business,4358580.91,13.78,2020-09-25,120,Active
L00209,C0479,Home,5406830.6,9.01,2023-06-22,180,Defaulted
L00210,C0359,Auto,1683376.78,10.4,2020-10-05,84,Active
L00211,C0251,Home,8220278.28,9.38,2024-03-15,180,Closed
L00212,C0120,Home,6231918.76,8.27,2025-04-15,180,Active
L00213,C0311,Auto,2459689.74,10.58,2021-08-11,84,Active
L00214,C0300,Business,2765275.47,10.29,2024-05-18,120,Closed
L00215,C0256,Auto,1477604.94,8.64,2025-01-01,48,Active
L00216,C0355,Business,5930227.73,12.23,2024-02-02,84,Defaulted
L00217,C0400,Business,3684222.42,12.12,2021-03-30,120,Closed
L00218,C0226,Personal,291462.25,12.48,2025-08-12,60,Active
L00219,C0354,Education,1101179.34,9.74,2025-06-14,120,Active
L00220,C0235,Personal,407149.69,13.17,2022-06-02,48,Closed
L00221,C0383,Education,1121625.56,10.51,2025-04-14,48,Active
L00222,C0275,Business,3864448.71,10.04,2022-12-13,84,Active
L00223,C0037,Business,6264796.59,10.25,2025-01-10,120,Closed
L00224,C0197,Personal,133896.08,11.49,2024-04-09,24,Active
L00225,C0140,Personal,556229.42,15.69,2023-12-05,36,Closed
L00226,C0365,Personal,897289.38,16.5,2022-05-17,36,Active
L00227,C0245,Home,8366190.21,9.5,2025-09-29,120,Defaulted
L00228,C0440,Personal,889075.71,13.73,2025-09-12,48,Closed
L00229,C0287,Auto,736117.74,9.93,2021-09-18,60,Active
L00230,C0060,Home,6753169.8,9.04,2025-03-08,240,Active
L00231,C0112,Personal,297984.63,16.32,2025-06-27,48,Active
L00232,C0090,Auto,413839.8,9.48,2022-12-30,48,Active
L00233,C0437,Auto,1797575.08,8.71,2021-01-02,36,Defaulted
L00234,C0007,Business,5306201.35,12.59,2021-01-16,120,Closed
L00235,C0361,Personal,326417.33,12.96,2021-10-01,24,Closed
L00236,C0347,Personal,726160.9,13.18,2025-01-15,24,Active
L00237,C0339,Personal,121688.77,14.9,2022-06-29,24,Active
L00238,C0159,Auto,1864959.04,8.81,2025-12-15,48,Active
L00239,C0151,Personal,574923.92,11.95,2023-08-24,36,Active
L00240,C0178,Auto,792917.15,8.73,2025-02-14,36,Closed
L00241,C0394,Auto,2167206.9,8.57,2023-08-30,84,Active
L00242,C0185,Business,5728757.97,10.64,2022-01-31,120,Closed
L00243,C0450,Business,913478.37,12.77,2021-07-04,84,Active
L00244,C0011,Personal,919333.63,17.31,2023-05-02,36,Active
L00245,C0381,Home,5162343.08,8.96,2025-06-01,180,Active
L00246,C0104,Personal,92219.25,12.1,2025-08-27,48,Closed
L00247,C0082,Auto,540801.59,11.03,2024-09-10,48,Active
L00248,C0039,Auto,1093618.23,9.72,2025-05-08,60,Active
L00249,C0315,Home,1609150.96,8.37,2022-08-10,120,Active
L00250,C0168,Business,3922355.47,12.13,2022-12-21,60,Active
L00251,C0470,Business,1396419.53,10.82,2021-11-03,120,Defaulted
L00252,C0297,Personal,731710.88,11.86,2021-09-23,12,Active
L00253,C0475,Personal,600834.14,13.5,2024-06-11,12,Active
L00254,C0199,Business,2594452.56,10.1,2022-09-04,120,Active
L00255,C0298,Personal,540108.5,12.07,2021-01-24,60,Active
L00256,C0417,Home,3088438.71,8.23,2021-09-05,180,Defaulted
L00257,C0147,Personal,836937.16,13.11,2021-04-05,36,Active
L00258,C0393,Home,6607046.45,9.2,2023-09-14,120,Active
L00259,C0148,Education,2125469.32,10.9,2020-12-17,120,Active
L00260,C0448,Business,3381359.42,12.81,2022-11-02,60,Active
