transaction_id,account_id,transaction_date,transaction_type,channel,amount,merchant_category,transaction_status
T000165,A00483,2024-11-28,IMPS,Branch,29478.32,Retail,Success
T000166,A00300,2024-11-26,NEFT,Branch,18230.48,Utility,Success
T000167,A00097,2025-02-12,Debit,Branch,11042.07,Investment,Success
T000168,A00171,2025-02-01,NEFT,Mobile,33376.24,Investment,Success
T000169,A00462,2024-11-13,IMPS,Branch,32988.27,Investment,Success
T000170,A00391,2025-06-08,Debit,Internet Banking,18035.3,Investment,Success
T000171,A00453,2024-04-02,ATM,ATM,2000.0,Cash Withdrawal,Success
T000172,A00456,2024-04-05,Credit,ATM,10909.71,Loan EMI,Success
T000173,A00162,2025-05-22,UPI,Mobile,433.77,Retail,Success
T000174,A00511,2024-11-03,Credit,Branch,6938.13,Cash Withdrawal,Success
T000175,A00314,2025-08-05,Credit,Mobile,9514.7,Retail,Success
T000176,A00441,2024-04-06,UPI,Mobile,1566.79,Utility,Success
T000177,A00537,2024-01-17,Credit,Internet Banking,15218.09,Utility,Success
T000178,A00047,2024-03-26,UPI,Mobile,1576.17,Utility,Success
T000179,A00480,2025-09-30,NEFT,Mobile,4671.09,Investment,Success
T000180,A00273,2025-11-20,Credit,Mobile,4146.45,Retail,Success
T000181,A00510,2025-04-16,ATM,ATM,20000.0,Cash Withdrawal,Success
T000182,A00520,2024-11-06,UPI,Mobile,2310.6,Utility,Failed
T000183,A00420,2024-11-05,Credit,Branch,9337.14,Retail,Success
T000184,A00198,2024-01-28,Debit,Branch,11964.75,Education,Success
T000185,A00574,2024-07-14,Credit,Internet Banking,8537.01,Utility,Success
T000186,A00175,2024-06-05,ATM,ATM,5000.0,Cash Withdrawal,Success
T000187,A00480,2025-08-22,Debit,ATM,6916.88,Investment,Success
T000188,A00462,2025-03-01,NEFT,Branch,26696.88,Retail,Success
T000189,A00309,2024-02-07,UPI,Mobile,1694.41,Healthcare,Success
T000190,A00521,2024-08-25,ATM,ATM,503482.35,Cash Withdrawal,Success
T000191,A00282,2025-10-25,UPI,Mobile,1503.54,Healthcare,Success
T000192,A00368,2025-04-04,ATM,ATM,500.0,Cash Withdrawal,Success
T000193,A00502,2024-12-18,UPI,Mobile,2895.88,Travel,Success
T000194,A00501,2024-05-14,NEFT,Branch,8714.32,Healthcare,Success
T000195,A00383,2025-04-28,NEFT,Internet Banking,9948.8,Retail,Success
T000196,A00091,2025-11-14,UPI,Mobile,1253.71,Travel,Success
T000197,A00107,2025-03-01,IMPS,Mobile,48752.57,Education,Success
T000198,A00019,2025-01-02,NEFT,Mobile,55941.05,Investment,Success
T000199,A00537,2024-02-02,NEFT,Mobile,21322.75,Healthcare,Success
T000200,A00236,2025-05-13,Debit,ATM,764.51,Healthcare,Success
T000201,A00281,2024-06-03,NEFT,Branch,21877.15,Retail,Success
T000202,A00468,2025-04-13,IMPS,Internet Banking,44185.92,Utility,Success
T000203,A00108,2025-07-29,Credit,Mobile,10721.05,Utility,Success
T000204,A00385,2024-06-09,ATM,ATM,20000.0,Cash Withdrawal,Success
T000205,A00105,2024-06-06,UPI,Mobile,2278.77,Utility,Success
T000206,A00213,2025-03-25,IMPS,Internet Banking,72453.57,Investment,Success
T000207,A00304,2025-06-01,Credit,ATM,9707.97,Healthcare,Success
T000208,A00259,2024-06-04,ATM,ATM,10000.0,Cash Withdrawal,Success
T000209,A00459,2025-02-27,IMPS,Mobile,23834.99,Retail,Success
T000210,A00031,2025-03-29,Credit,Mobile,5539.01,Travel,Success
T000211,A00173,2025-03-20,Credit,Mobile,3548.42,Utility,Success
T000212,A00555,2024-10-29,UPI,Mobile,297.81,Utility,Success
T000213,A00365,2024-01-09,NEFT,Branch,19685.51,Retail,Success
T000214,A00476,2025-10-21,Debit,Internet Banking,20430.64,Healthcare,Success
T000215,A00430,2024-07-21,NEFT,Internet Banking,53181.54,Utility,Success
T000216,A00133,2025-06-16,IMPS,Mobile,22972.62,Investment,Success
T000217,A00556,2024-12-14,ATM,ATM,723223.54,Cash Withdrawal,Success
T000218,A00272,2024-09-04,NEFT,Mobile,119476.92,Healthcare,Success
T000219,A00062,2025-01-16,Debit,ATM,6958.92,Travel,Success
T000220,A00131,2025-04-04,Debit,Mobile,23515.62,Loan EMI,Success
T000221,A00569,2025-09-01,Debit,ATM,26868.62,Cash Withdrawal,Success
T000222,A00147,2025-01-21,UPI,Mobile,2100.42,Travel,Success
T000223,A00203,2025-01-04,UPI,Mobile,842.32,Travel,Success
T000224,A00085,2024-04-04,Credit,Branch,8360.94,Loan EMI,Success
T000225,A00561,2025-02-16,UPI,Mobile,1724.97,Healthcare,Success
T000226,A00453,2025-03-26,ATM,ATM,5000.0,Cash Withdrawal,Success
T000227,A00171,2024-05-27,UPI,Mobile,416.08,Healthcare,Success
T000228,A00547,2025-06-25,Credit,Branch,5140.44,Loan EMI,Success
T000229,A00393,2024-05-01,UPI,Mobile,582.78,Healthcare,Success
T000230,A00308,2024-02-11,UPI,Mobile,2213.92,Retail,Reversed
T000231,A00322,2024-10-28,UPI,Mobile,3342.47,Travel,Success
T000232,A00050,2024-11-08,NEFT,Internet Banking,54563.69,Investment,Success
T000233,A00129,2025-07-14,Debit,Mobile,19941.89,Investment,Success
T000234,A00483,2024-12-11,NEFT,Mobile,18213.31,Retail,Success
T000235,A00492,2025-04-05,ATM,ATM,1000.0,Cash Withdrawal,Success
T000236,A00438,2025-01-31,Debit,Internet Banking,8627.78,Healthcare,Failed
T000237,A00473,2024-10-11,UPI,Mobile,1227.03,Travel,Success
T000238,A00328,2025-07-28,UPI,Mobile,2094.49,Retail,Success
T000239,A00055,2025-08-06,UPI,Mobile,869.65,Healthcare,Success
T000240,A00567,2024-07-03,IMPS,Mobile,61973.16,Investment,Success
T000241,A00474,2024-03-27,NEFT,Branch,86948.82,Education,Success
T000242,A00024,2024-12-14,UPI,Mobile,469531.23,Healthcare,Success
T000243,A00096,2024-04-27,IMPS,Branch,25400.26,Investment,Success
T000244,A00094,2024-06-06,Debit,Internet Banking,5756.35,Utility,Failed
T000245,A00190,2024-01-28,ATM,ATM,2000.0,Cash Withdrawal,Success
T000246,A00441,2024-11-27,Debit,Mobile,4819.63,Retail,Success
T000247,A00249,2025-05-19,UPI,Mobile,178.96,Healthcare,Success
T000248,A00338,2025-04-20,UPI,Mobile,1257.33,Retail,Success
T000249,A00246,2024-01-20,Debit,Mobile,8921.08,Education,Success
T000250,A00132,2024-11-07,UPI,Mobile,2738.35,Healthcare,Success
T000251,A00215,2024-05-25,Debit,Branch,7083.69,Education,Success
T000252,A00591,2025-04-07,Credit,Internet Banking,9649.31,Cash Withdrawal,Success
T000253,A00062,2025-05-08,Debit,ATM,13048.99,Investment,Success
T000254,A00224,2025-08-22,NEFT,Mobile,47178.48,Utility,Success
T000255,A00073,2024-11-03,Credit,Mobile,17191.89,Utility,Reversed
T000256,A00462,2024-08-03,UPI,Mobile,1720.31,Utility,Failed
T000257,A00275,2025-12-25,UPI,Mobile,441.44,Travel,Success
T000258,A00222,2025-04-15,IMPS,Mobile,44419.06,Utility,Success
T000259,A00003,2025-09-15,UPI,Mobile,863.34,Retail,Success
T000260,A00522,2025-02-06,UPI,Mobile,3447.78,Retail,Success
T000261,A00475,2025-11-19,Credit,Internet Banking,10990.64,Healthcare,Success
T000262,A00009,2024-05-07,UPI,Mobile,1797.48,Travel,Success
T000263,A00021,2024-10-14,ATM,ATM,20000.0,Cash Withdrawal,Success
T000264,A00322,2024-08-14,Debit,Internet Banking,43477.97,Healthcare,Success
T000265,A00221,2024-01-08,Debit,Internet Banking,17377.44,Travel,Success
T000266,A00527,2024-06-23,UPI,Mobile,1987.88,Travel,Success
T000267,A00067,2024-05-10,Debit,Branch,9845.94,Cash Withdrawal,Success
T000268,A00568,2025-09-21,Debit,Internet Banking,4090.05,Retail,Success
T000269,A00054,2024-11-26,UPI,Mobile,1270.01,Healthcare,Success
T000270,A00499,2025-05-22,Debit,Mobile,5701.91,Education,Failed
T000271,A00568,2025-04-04,Debit,Internet Banking,28356.98,Education,Success
T000272,A00026,2024-08-19,IMPS,Mobile,44270.62,Utility,Success
T000273,A00350,2024-11-14,Credit,Mobile,22242.42,Retail,Success
T000274,A00355,2024-09-13,Debit,Internet Banking,6936.65,Education,Success
T000275,A00354,2025-06-16,NEFT,Internet Banking,17757.69,Retail,Success
T000276,A00477,2025-08-15,Credit,Mobile,16339.27,Retail,Success
T000277,A00067,2024-05-10,Credit,Internet Banking,5526.36,Retail,Success
T000278,A00068,2024-04-14,ATM,ATM,10000.0,Cash Withdrawal,Success
T000279,A00427,2024-04-08,UPI,Mobile,1046.97,Healthcare,Success
T000280,A00011,2025-04-09,Debit,Internet Banking,29162.09,Travel,Failed
T000281,A00027,2025-04-09,UPI,Mobile,1081.93,Travel,Success
T000282,A00071,2025-08-30,NEFT,Internet Banking,9396.83,Retail,Success
T000283,A00377,2025-03-07,UPI,Mobile,243.3,Healthcare,Success
T000284,A00046,2024-03-02,Credit,Internet Banking,3037.42,Healthcare,Success
T000285,A00153,2024-05-30,UPI,Mobile,3497.19,Utility,Failed
T000286,A00553,2025-08-23,ATM,ATM,1000.0,Cash Withdrawal,Success
T000287,A00056,2025-03-08,Debit,Branch,7258.2,Education,Success
T000288,A00509,2025-12-12,ATM,ATM,5000.0,Cash Withdrawal,Success
T000289,A00356,2025-09-22,Debit,ATM,42674.74,Utility,Success
T000290,A00044,2025-05-22,Debit,Mobile,26607.84,Education,Success
T000291,A00225,2024-09-01,UPI,Mobile,5246.64,Utility,Success
T000292,A00425,2024-07-07,NEFT,Internet Banking,350520.67,Education,Success
T000293,A00149,2024-10-24,UPI,Mobile,2299.15,Utility,Success
T000294,A00209,2024-10-17,Credit,ATM,5858.39,Utility,Success
T000295,A00187,2024-07-19,Credit,ATM,574216.67,Travel,Success
T000296,A00117,2024-12-12,IMPS,Mobile,53800.56,Healthcare,Success
T000297,A00180,2025-06-23,IMPS,Branch,62994.57,Healthcare,Success
T000298,A00151,2024-05-13,NEFT,Internet Banking,12617.39,Retail,Success
T000299,A00459,2025-10-13,Debit,Mobile,9469.63,Education,Success
T000300,A00156,2024-12-01,Debit,ATM,10236.14,Utility,Failed
T000301,A00522,2024-08-02,ATM,ATM,5000.0,Cash Withdrawal,Success
T000302,A00176,2025-06-04,Debit,ATM,9961.77,Loan EMI,Success
T000303,A00397,2025-06-22,ATM,ATM,20000.0,Cash Withdrawal,Success
T000304,A00426,2025-10-15,IMPS,Branch,14182.03,Utility,Success
T000305,A00482,2024-08-28,Debit,ATM,31010.39,Investment,Success
T000306,A00398,2024-09-17,UPI,Mobile,1251.94,Travel,Success
T000307,A00554,2024-12-26,Debit,Mobile,5195.15,Loan EMI,Success
T000308,A00481,2025-04-23,UPI,Mobile,4928.01,Utility,Success
T000309,A00407,2024-01-26,Credit,Branch,26623.03,Cash Withdrawal,Success
T000310,A00086,2024-10-28,NEFT,Branch,37185.23,Retail,Success
T000311,A00240,2024-04-10,Credit,ATM,7752.65,Retail,Success
T000312,A00350,2024-09-13,Debit,ATM,2824.89,Education,Reversed
T000313,A00579,2024-09-24,Credit,ATM,15070.01,Cash Withdrawal,Success
T000314,A00429,2025-02-19,NEFT,Branch,22128.32,Utility,Success
T000315,A00156,2025-02-11,Debit,Branch,10632.09,Loan EMI,Success
T000316,A00588,2025-04-24,ATM,ATM,5000.0,Cash Withdrawal,Success
T000317,A00198,2025-03-15,NEFT,Branch,98745.81,Healthcare,Success
T000318,A00031,2025-01-18,Credit,Branch,6978.13,Cash Withdrawal,Success
T000319,A00377,2024-12-13,Debit,Internet Banking,14662.63,Investment,Success
T000320,A00318,2024-11-29,UPI,Mobile,2577.78,Retail,Success
T000321,A00351,2025-08-04,UPI,Mobile,3424.87,Healthcare,Success
T000322,A00416,2024-03-06,UPI,Mobile,1386.61,Travel,Success
T000323,A00482,2025-10-16,NEFT,Internet Banking,28835.89,Investment,Success
T000324,A00033,2025-12-06,UPI,Mobile,1251.94,Retail,Success
T000325,A00411,2024-10-17,Debit,ATM,13768.24,Travel,Success
T000326,A00012,2024-06-24,Debit,Internet Banking,25951.18,Investment,Success
T000327,A00572,2025-03-04,UPI,Mobile,1206.52,Retail,Success
T000328,A00218,2024-05-13,NEFT,Mobile,2291.19,Healthcare,Success
T000329,A00166,2025-09-10,UPI,Mobile,2779.47,Utility,Success
T000330,A00490,2024-10-09,Debit,Branch,11333.89,Loan EMI,Success
T000331,A00260,2025-06-22,Debit,Internet Banking,15091.48,Loan EMI,Success
T000332,A00096,2024-10-21,UPI,Mobile,318.45,Healthcare,Success
T000333,A00316,2025-02-04,UPI,Mobile,965.44,Travel,Success
T000334,A00462,2025-04-13,Debit,Branch,17793.43,Travel,Failed
T000335,A00252,2024-06-10,Debit,ATM,3975.82,Travel,Success
T000336,A00229,2025-05-20,UPI,Mobile,2109.83,Retail,Success
T000337,A00111,2025-05-31,ATM,ATM,2000.0,Cash Withdrawal,Success
T000338,A00219,2025-06-02,Credit,Mobile,10573.13,Travel,Success
T000339,A00493,2025-01-25,Debit,Internet Banking,6276.39,Education,Success
T000340,A00121,2025-12-27,IMPS,Mobile,17353.21,Healthcare,Success
T000341,A00584,2025-11-03,Debit,Internet Banking,4945.04,Utility,Success
T000342,A00170,2024-06-23,NEFT,Branch,35139.81,Utility,Success
T000343,A00416,2024-06-21,Credit,Mobile,12184.49,Cash Withdrawal,Success
T000344,A00228,2024-02-05,NEFT,Branch,25357.93,Investment,Success
T000345,A00558,2025-10-18,ATM,ATM,20000.0,Cash Withdrawal,Success
T000346,A00327,2025-03-30,Credit,Mobile,4703.36,Retail,Success
T000347,A00263,2025-01-18,IMPS,Internet Banking,119560.92,Utility,Success
T000348,A00202,2025-11-27,ATM,ATM,1000.0,Cash Withdrawal,Success
T000349,A00176,2024-06-20,Credit,Mobile,18940.87,Healthcare,Success
T000350,A00219,2025-07-08,Debit,Internet Banking,16058.97,Travel,Success
T000351,A00344,2024-06-26,Credit,ATM,34127.36,Retail,Success
T000352,A00068,2025-11-04,NEFT,Branch,29299.81,Retail,Success
T000353,A00230,2025-02-24,Debit,Internet Banking,24429.59,Travel,Success
T000354,A00180,2024-09-14,IMPS,Branch,20086.1,Education,Success
T000355,A00140,2024-12-06,Credit,ATM,5951.73,Loan EMI,Success
T000356,A00479,2025-01-26,UPI,Mobile,1647.09,Travel,Success
T000357,A00014,2024-08-26,Credit,Mobile,27729.47,Cash Withdrawal,Success
T000358,A00256,2025-09-26,Credit,Branch,8824.46,Healthcare,Success
T000359,A00400,2024-07-28,UPI,Mobile,318.18,Travel,Success
T000360,A00474,2024-12-02,Credit,ATM,18719.3,Retail,Failed
T000361,A00306,2024-01-25,Debit,ATM,10270.51,Healthcare,Success
T000362,A00262,2025-12-04,ATM,ATM,1000.0,Cash Withdrawal,Success
T000363,A00342,2024-07-06,UPI,Mobile,1874.58,Retail,Success
T000364,A00203,2024-02-23,UPI,Mobile,785.08,Travel,Success
T000365,A00182,2025-08-29,UPI,Mobile,1635.49,Travel,Success
T000366,A00500,2024-11-14,Credit,Branch,3321.32,Education,Success
T000367,A00322,2024-10-19,UPI,Mobile,4899.09,Travel,Success
T000368,A00083,2025-01-03,Debit,Branch,20884.95,Loan EMI,Success
T000369,A00463,2024-06-08,NEFT,Mobile,35296.53,Utility,Success
T000370,A00087,2024-11-03,UPI,Mobile,2725.01,Travel,Success
T000371,A00405,2025-04-19,Debit,ATM,6753.66,Investment,Success
